Book	Chapter	Verse	Text	Index
The Epistle of St. Paul to the Colossians	2	18	Let no man seduce you, willing in humility and religion of angels, walking in the things which he hath not seen, in vain puffed up by the sense of his flesh: Willing, etc.... That is, by a self willed, self invented, superstitious worship, falsely pretending humility, but really proceeding from pride. Such was the worship, that many of the philosophers (against whom St. Paul speaks, ver. 8) paid to angels or demons, by sacrificing to them, as carriers of intelligence betwixt God and men; pretending humility in so doing, as if God was too great to be addressed by men; and setting aside the mediatorship of Jesus Christ, who is the head both of angels and men. Such also was the worship paid by the ancient heretics, disciples of Simon and Menander, to the angels, whom they believed to be makers and lords of this lower world. This is certain, that they whom the apostle here condemns, did not hold the head, (ver. 19,) that is, Jesus Christ, and his mediatorship; and therefore what he writes here no way touches the Catholic doctrine and practice, of desiring our good angels to pray to God for us, through Jesus Christ. St. Jerome [Epist. ad Algas.] understands by the religion or service of angels, the Jewish teachers, who sought to subject the new Christians to the observance of the Mosaic law.	1
The Epistle of St. Paul to the Colossians	2	19	And not holding the head, from which the whole body, by joints and bands, being supplied with nourishment and compacted, groweth into the increase of God.	1
The Epistle of St. Paul to the Colossians	2	20	If then you be dead with Christ from the elements of this world, why do you yet decree as though living in the world?	1
The Epistle of St. Paul to the Colossians	2	21	Touch not: taste not: handle not. Touch not, etc.... The meaning is, that Christians should not subject themselves, either to the ordinances of the old law, forbidding touching or tasting things unclean; or to the superstitious invention of heretics, imposing such restraints, under pretence of wisdom, humility, or mortification.	1
The Epistle of St. Paul to the Colossians	2	22	Which all are unto destruction by the very use, according to the precepts and doctrines of men.	1
The Epistle of St. Paul to the Colossians	2	23	Which things have indeed a shew of wisdom in superstition and humility, and not sparing the body; not in any honour to the filling of the flesh. Colossians Chapter 3 He exhorts them to put off the old man, and to put on the new. The duties of wives and husbands, children and servants.	1
The Epistle of St. Paul to the Colossians	3	1	Therefore if you be risen with Christ, seek the things that are above, where Christ is sitting at the right hand of God.	1
The Epistle of St. Paul to the Colossians	3	2	Mind the things that are above, not the things that are upon the earth.	1
The Epistle of St. Paul to the Colossians	3	3	For you are dead: and your life is hid with Christ in God.	1
The Epistle of St. Paul to the Colossians	3	4	When Christ shall appear, who is your life, then you also shall appear with him in glory.	1
The Epistle of St. Paul to the Colossians	3	5	Mortify therefore your members which are upon the earth: fornication, uncleanness, lust, evil concupiscence and covetousness, which is the service of idols.	1
The Epistle of St. Paul to the Colossians	3	6	For which things the wrath of God cometh upon the children of unbelief.	1
The Epistle of St. Paul to the Colossians	3	7	In which you also walked some time, when you lived in them.	1
The Epistle of St. Paul to the Colossians	3	8	But now put you also all away: anger, indignation, malice, blasphemy, filthy speech out of your mouth.	1
The Epistle of St. Paul to the Colossians	3	9	Lie not one to another: stripping yourselves of the old man with his deeds,	1
The Epistle of St. Paul to the Colossians	3	10	And putting on the new, him who is renewed unto knowledge, according to the image of him that created him.	1
The Epistle of St. Paul to the Colossians	3	11	Where there is neither Gentile nor Jew, circumcision nor uncircumcision, Barbarian nor Scythian, bond nor free. But Christ is all and in all.	1
The Epistle of St. Paul to the Colossians	3	12	Put ye on therefore, as the elect of God, holy and beloved, the bowels of mercy, benignity, humility, modesty, patience:	1
The Epistle of St. Paul to the Colossians	3	13	Bearing with one another and forgiving one another, if any have a complaint against another. Even as the Lord hath forgiven you, so do you also.	1
The Epistle of St. Paul to the Colossians	3	14	But above all these things have charity, which is the bond of perfection.	1
The Epistle of St. Paul to the Colossians	3	15	And let the peace of Christ rejoice in your hearts, wherein also you are called in one body: and be ye thankful.	1
The Epistle of St. Paul to the Colossians	3	16	Let the word of Christ dwell in you abundantly: in all wisdom, teaching and admonishing one another in psalms, hymns and spiritual canticles, singing in grace in your hearts to God.	1
The Epistle of St. Paul to the Colossians	3	17	All whatsoever you do in word or in work, do all in the name of the Lord Jesus Christ, giving thanks to God and the Father by him.	1
The Epistle of St. Paul to the Colossians	3	18	Wives, be subject to your husbands, as it behoveth in the Lord.	1
The Epistle of St. Paul to the Colossians	3	19	Husbands, love your wives and be not bitter towards them.	1
The Epistle of St. Paul to the Colossians	3	20	Children, obey your parents in all things: for this is well pleasing to the Lord.	1
The Epistle of St. Paul to the Colossians	3	21	Fathers, provoke not your children to indignation, lest they be discouraged.	1
The Epistle of St. Paul to the Colossians	3	22	Servants, obey in all things your masters according to the flesh: not serving to the eye, as pleasing men: but in simplicity of heart, fearing God.	1
The Epistle of St. Paul to the Colossians	3	23	Whatsoever you do, do it from the heart, as to the Lord, and not to men:	1
The Epistle of St. Paul to the Colossians	3	24	Knowing that you shall receive of the Lord the reward of inheritance. Serve ye the Lord Christ.	1
The Epistle of St. Paul to the Colossians	3	25	For he that doth wrong shall receive for that which he hath done wrongfully. And there is no respect of persons with God. Colossians Chapter 4 He recommends constant prayer and wisdom. Various salutations.	1
The Epistle of St. Paul to the Colossians	4	1	Masters, do to your servants that which is just and equal: knowing that you also have a master in heaven.	1
The Epistle of St. Paul to the Colossians	4	2	Be instant in prayer: watching in it with thanksgiving.	1
The Epistle of St. Paul to the Colossians	4	3	Praying withal for us also, that God may open unto us a door of speech to speak the mystery of Christ (for which also I am bound):	1
The Epistle of St. Paul to the Colossians	4	4	That I may make it manifest as I ought to speak.	1
The Epistle of St. Paul to the Colossians	4	5	Walk with wisdom towards them that are without, redeeming the time.	1
The Epistle of St. Paul to the Colossians	4	6	Let your speech be always in grace seasoned with salt: that you may know how you ought to answer every man.	1
The Epistle of St. Paul to the Colossians	4	7	All the things that concern me, Tychicus, our dearest brother and faithful minister and fellow servant in the Lord, will make known to you.	1
The Epistle of St. Paul to the Colossians	4	8	Whom I have sent to you for this same purpose, that he may know the things that concern you and comfort your hearts:	1
The Epistle of St. Paul to the Colossians	4	9	With Onesimus, a most beloved and faithful brother, who is one of you. All things that are done here, they shall make known to you.	1
The Epistle of St. Paul to the Colossians	4	10	Aristarchus, my fellow prisoner, saluteth you: and Mark, the cousin german of Barnabas, touching whom you have received commandments. If he come unto you, receive him.	1
The Epistle of St. Paul to the Colossians	4	11	And Jesus that is called Justus: who are of the circumcision. These only are my helpers, in the kingdom of God: who have been a comfort to me.	1
The Epistle of St. Paul to the Colossians	4	12	Epaphras saluteth you, who is one of you, a servant of Christ Jesus, who is always solicitous for you in prayers, that you may stand perfect and full in all the will of God.	1
The Epistle of St. Paul to the Colossians	4	13	For I bear him testimony that he hath much labour for you and for them that are at Laodicea and them at Hierapolis.	1
The Epistle of St. Paul to the Colossians	4	14	Luke, the most dear physician, saluteth you: and Demas.	1
The Epistle of St. Paul to the Colossians	4	15	Salute the brethren who are at Laodicea: and Nymphas and the church that is in his house.	1
The Epistle of St. Paul to the Colossians	4	16	And when this epistle shall have been read with you, cause that it be read also in the church of the Laodiceans: and that you read that which is of the Laodiceans. And that you read that which is of the Laodiceans.... What this epistle was is uncertain, and annotators have given different opinions concerning it. Some expound these words of an epistle which St. Paul wrote to the Laodiceans, and is since lost, for that now extant is no more than a collection of sentences out of the other epistles of St. Paul; therefore it cannot be considered even as a part of that epistle. Others explain that the text means a letter sent to St. Paul by the Laodiceans, which he sends to the Colossians to be read by them. However, this opinion does not seem well founded. Hence it is more probable that St. Paul wrote an epistle from Rome to the Laodiceans, about the same time that he wrote to the Colossians, as he had them both equally at heart, and that he ordered that epistle to be read by the Colossians for their instructions; and being neighbouring cities, they might communicate to each other what they had received from him; as one epistle might contain some matters not related in the other, and would be equally useful for their concern; and more particularly as they were equally disturbed by intruders and false teachers, against which the apostle was anxious to warn them, lest they should be infected by their pernicious doctrine.	1
The Epistle of St. Paul to the Colossians	4	17	And say to Archippus: Take heed to the ministry which thou hast received in the Lord, that thou fulfil it.	1
The Epistle of St. Paul to the Colossians	4	18	The salutation of Paul with my own hand. Be mindful of my bands. Grace be with you. Amen.	1
The Prophecy of Amos	1	1	The words of Amos, who was among the herdsmen of Thecua: which he saw concerning Israel in the days of Ozias king of Juda, and in the days of Jeroboam the son of Joas king of Israel two years before the earthquake. The earthquake.... Many understand this of a great earthquake, which they say was felt at the time that king Ozias attempted to offer incense in the temple. But the best chronologists prove that the earthquake here spoken of must have been before that time: because Jeroboam the second, under whom Amos prophesied, was dead long before that attempt of Ozias.	2
The Prophecy of Amos	1	2	And he said: The Lord will roar from Sion, and utter his voice from Jerusalem: and the beautiful places of the shepherds have mourned, and the top of Carmel is withered.	2
The Prophecy of Amos	1	3	Thus saith the Lord: For three crimes of Damascus, and for four I will not convert it: because they have thrashed Galaad with iron wains. For three crimes—and for four.... That is, for their many unrepented of crimes.—Ibid. I will not convert it.... That is, I will not spare them, nor turn away the punishments I design to inflict upon them.	2
The Prophecy of Amos	1	4	And I will send a fire into the house of Azael, and it shall devour the houses of Benadad.	2
The Prophecy of Amos	1	5	And I will break the bar of Damascus: and I will cut off the inhabitants from the plain of the idol, and him that holdeth the sceptre from the house of pleasure: and the people of Syria shall be carried away to Cyrene, saith the Lord.	2
The Prophecy of Amos	1	6	Thus saith the Lord: For three crimes of Gaza, and for four I will not convert it: because they have carried away a perfect captivity to shut them up in Edom.	2
The Prophecy of Amos	1	7	And I will send a fire on the wall of Gaza, and it shall devour the houses thereof.	2
The Prophecy of Amos	1	8	And I will cut off the inhabitant from Azotus, and him that holdeth the sceptre from Ascalon: and I will turn my hand against Accaron, and the rest of the Philistines shall perish, saith the Lord God.	2
The Prophecy of Amos	1	9	Thus saith the Lord: For three crimes of Tyre, and for four I will not convert it: because they have shut up an entire captivity in Edom, and have not remembered the covenant of brethren.	2
The Prophecy of Amos	1	10	And I will send a fire upon the wall of Tyre, and it shall devour the houses thereof.	2
The Prophecy of Amos	1	11	Thus saith the Lord: For three crimes of Edom, and for four I will not convert him: because he hath pursued his brother with the sword, and hath cast off all pity, and hath carried on his fury, and hath kept his wrath to the end.	2
The Prophecy of Amos	1	12	I will send a fire into Theman: and it shall devour the houses of Bosra.	2
The Prophecy of Amos	1	13	Thus saith the Lord: For three crimes of the children of Ammon, and for four I will not convert him: because he hath ripped up the women with child of Galaad to enlarge his border.	2
The Prophecy of Amos	1	14	And I will kindle a fire in the wall of Rabba: and it shall devour the houses thereof with shouting in the day of battle, and with a whirlwind in the day of trouble.	2
The Prophecy of Amos	1	15	And Melchom shall go into captivity, both he, and his princes together, saith the Lord. Melchom.... The god or idol of the Ammonites, otherwise called Moloch, and Melech: which in Hebrew signifies a king, and Melchom their king. Amos Chapter 2 The judgments with which God threatens Moab, Juda, and Israel for their sins, and their ingratitude.	2
The Prophecy of Amos	2	1	Thus saith the Lord: For three crimes of Moab, and for four I will not convert him: because he hath burnt the bones of the king of Edom even to ashes.	2
The Prophecy of Amos	2	2	And I will send a fire into Moab, and it shall devour the houses of Carioth: and Moab shall die with a noise, with the sound of the trumpet:	2
The Prophecy of Amos	2	3	And I will cut off the judge from the midst thereof, and will slay all his princes with him, saith the Lord.	2
The Prophecy of Amos	2	4	Thus saith the Lord: For three crimes of Juda, and for four I will not convert him: because he hath cast away the law of the Lord, and hath not kept his commandments: for their idols have caused them to err, after which their fathers have walked.	2
The Prophecy of Amos	2	5	And I will send a fire into Juda, and it shall devour the houses of Jerusalem.	2
The Prophecy of Amos	2	6	Thus saith the Lord: For three crimes of Israel, and for four I will not convert him: because he hath sold the just man for silver, and the poor man for a pair of shoes.	2
The Prophecy of Amos	2	7	They bruise the heads of the poor upon the dust of the earth, and turn aside the way of the humble: and the son and his father have gone to the same young woman, to profane my holy name.	2
The Prophecy of Amos	2	8	And they sat down upon garments laid to pledge by every altar: and drank the wine of the condemned in the house of their God.	2
The Prophecy of Amos	2	9	Yet I cast out the Amorrhite before their face: whose height was like the height of cedars, and who was strong as an oak: and I destroyed his fruit from above, and his roots beneath.	2
The Prophecy of Amos	2	10	It is I that brought you up out of the land of Egypt, and I led you forty years through the wilderness, that you might possess the land of the Amorrhite.	2
The Prophecy of Amos	2	11	And I raised up of your sons for prophets, and of your young men for Nazarites. Is it not so, O ye children of Israel, saith the Lord?	2
The Prophecy of Amos	2	12	And you will present wine to the Nazarites: and command the prophets, saying: Prophesy not.	2
The Prophecy of Amos	2	13	Behold, I will screak under you as a wain screaketh that is laden with hay. I will screak.... Unable to bear any longer the enormous load of your sins, etc. The spirit of God, as St. Jerome takes notice, accommodates himself to the education of the prophet and inspires him with comparisons taken from country affairs.	2
The Prophecy of Amos	2	14	And flight shall perish from the swift, and the valiant shall not possess his strength, neither shall the strong save his life.	2
The Prophecy of Amos	2	15	And he that holdeth the bow shall not stand, and the swift of foot shall not escape, neither shall the rider of the horse save his life.	2
The Prophecy of Amos	2	16	And the stout of heart among the valiant shall flee away naked in that day, saith the Lord. Amos Chapter 3 The evils that shall fall upon Israel for their sins.	2
The Prophecy of Amos	3	1	Hear the word that the Lord hath spoken concerning you, O ye children of Israel: concerning the whole family that I brought up out of the land of Egypt, saying:	2
The Prophecy of Amos	3	2	You only have I known of all the families of the earth: therefore will I visit upon you all your iniquities. Visit upon.... That is, punish.	2
The Prophecy of Amos	3	3	Shall two walk together except they be agreed?	2
The Prophecy of Amos	3	4	Will a lion roar in the forest, if he have no prey? will the lion’s whelp cry out of his den, if he have taken nothing?	2
The Prophecy of Amos	3	5	Will the bird fall into the snare upon the earth, if there be no fowler? Shall the snare be taken up from the earth, before it hath taken somewhat?	2
The Prophecy of Amos	3	6	Shall the trumpet sound in a city, and the people not be afraid? Shall there be evil in a city, which the Lord hath not done? Evil in a city.... He speaks of the evil of punishments of war, famine, pestilence, desolation, etc., but not of the evil of sin, of which God is not the author.	2
The Prophecy of Amos	3	7	For the Lord God doth nothing without revealing his secret to his servants the prophets.	2
The Prophecy of Amos	3	8	The lion shall roar, who will not fear? The Lord God hath spoken, who shall not prophesy?	2
The Prophecy of Amos	3	9	Publish it in the houses of Azotus, and in the houses of the land of Egypt, and say: Assemble yourselves upon the mountains of Samaria, and behold the many follies in the midst thereof, and them that suffer oppression in the inner rooms thereof.	2
The Prophecy of Amos	3	10	And they have not known to do the right thing, saith the Lord, storing up iniquity, and robberies in their houses.	2
The Prophecy of Amos	3	11	Therefore thus saith the Lord God: The land shall be in tribulation, and shall be compassed about: and thy strength shall be taken away from thee, and thy houses shall be spoiled.	2
The Prophecy of Amos	3	12	Thus saith the Lord: As if a shepherd should get out of the lion’s mouth two legs, or the tip of the ear: so shall the children of Israel be taken out that dwell in Samaria, in a place of a bed, and in the couch of Damascus.	2
The Prophecy of Amos	3	13	Hear ye, and testify in the house of Jacob, saith the Lord the God of hosts:	2
The Prophecy of Amos	3	14	That in the day when I shall begin to visit the transgressions of Israel, I will visit upon him, and upon the altars of Bethel: and the horns of the altars shall be cut off, and shall fall to the ground.	2
The Prophecy of Amos	3	15	And I will strike the winter house with the summer house: and the houses of ivory shall perish, and many houses shall be destroyed, saith the Lord. Amos Chapter 4 The Israelites are reproved for their oppressing the poor, for their idolatry, and their incorrigibleness.	2
The Prophecy of Amos	4	1	Hear this word, ye fat kine that are in the mountains of Samaria: you that oppress the needy, and crush the poor: that say to your masters: Bring, and we will drink. Fat kine.... He means the great ones that lived in plenty and wealth.	2
The Prophecy of Amos	4	2	The Lord God hath sworn by his holiness, that lo, the days shall come upon you, when they shall lift you up on pikes, and what shall remain of you in boiling pots.	2
The Prophecy of Amos	4	3	And you shall go out at the breaches one over against the other, and you shall be cast forth into Armon, saith the Lord. Armon.... A foreign country; some understand it of Armenia.	2
The Prophecy of Amos	4	4	Come ye to Bethel, and do wickedly: to Galgal, and multiply transgressions: and bring in the morning your victims, your tithes in three days.	2
The Prophecy of Amos	4	5	And offer a sacrifice of praise with leaven: and call free offerings, and proclaim it: for so you would do, O children of Israel, saith the Lord God.	2
The Prophecy of Amos	4	6	Whereupon I also have given you dulness of teeth in all your cities, and want of bread in all your places: yet you have not returned to me, saith the Lord.	2
The Prophecy of Amos	4	7	I also have withholden the rain from you, when there were yet three months to the harvest: and I caused it to rain upon one city, and caused it not to rain upon another city: one piece was rained upon: and the piece whereupon I rained not, withered.	2
The Prophecy of Amos	4	8	And two and three cities went to one city to drink water, and were not filled: yet you returned not to me, saith the Lord.	2
The Prophecy of Amos	4	9	I struck you with a burning wind, and with mildew, the palmerworm hath eaten up your many gardens, and your vineyards: your olive groves, and fig groves: yet you returned not to me, saith the Lord.	2
The Prophecy of Amos	4	10	I sent death upon you in the way of Egypt, I slew your young men with the sword, even to the captivity of your horses: and I made the stench of your camp to come up into your nostrils: yet you returned not to me, saith the Lord.	2
The Prophecy of Amos	4	11	I destroyed some of you, as God destroyed Sodom and Gomorrha, and you were as a firebrand plucked out of the burning: yet you returned not to me, saith the Lord.	2
The Prophecy of Amos	4	12	Therefore I will do these things to thee, O Israel: and after I shall have done these things to thee, be prepared to meet thy God, O Israel.	2
The Prophecy of Amos	4	13	For behold he that formeth the mountains and createth the wind, and declareth his word to man, he that maketh the morning mist, and walketh upon the high places of the earth: the Lord the God of hosts is his name. Amos Chapter 5 A lamentation for Israel: an exhortation to return to God.	2
The Prophecy of Amos	5	1	Hear ye this word, which I take up concerning you for a lamentation. The house of Israel is fallen, and it shall rise no more.	2
The Prophecy of Amos	5	2	The virgin of Israel is cast down upon her land, there is none to raise her up.	2
The Prophecy of Amos	5	3	For thus saith the Lord God: The city, out of which came forth a thousand, there shall be left in it a hundred: and out of which there came a hundred, there shall be left in it ten, in the house of Israel.	2
The Prophecy of Amos	5	4	For thus saith the Lord to the house of Israel: Seek ye me, and you shall live.	2
The Prophecy of Amos	5	5	But seek not Bethel, and go not into Galgal, neither shall you pass over to Bersabee: for Galgal shall go into captivity, and Bethel shall be unprofitable. Bethel,—Galgal,—Bersabee.... The places where they worshipped their idols.	2
The Prophecy of Amos	5	6	Seek ye the Lord, and live: lest the house of Joseph be burnt with fire, and it shall devour, and there shall be none to quench Bethel.	2
The Prophecy of Amos	5	7	You that turn judgment into wormwood, and forsake justice in the land,	2
The Prophecy of Amos	5	8	Seek him that maketh Arcturus, and Orion, and that turneth darkness into morning, and that changeth day into night: that calleth the waters of the sea, and poureth them out upon the face of the earth: The Lord is his name. Arcturus and Orion.... Arcturus is a bright star in the north: Orion a beautiful constellation in the south.	2
The Prophecy of Amos	5	9	He that with a smile bringeth destruction upon the strong, and waste upon the mighty. With a smile.... That is, with all ease, and without making any effort.	2
The Prophecy of Amos	5	10	They have hated him that rebuketh in the gate: and have abhorred him that speaketh perfectly.	2
The Prophecy of Amos	5	11	Therefore because you robbed the poor, and took the choice prey from him: you shall build houses with square stone, and shall not dwell in them: you shall plant most delightful vineyards, and shall not drink the wine of them.	2
The Prophecy of Amos	5	12	Because I know your manifold crimes, and your grievous sins: enemies of the just, taking bribes, and oppressing the poor in the gate.	2
The Prophecy of Amos	5	13	Therefore the prudent shall keep silence at that time, for it is an evil time.	2
The Prophecy of Amos	5	14	Seek ye good, and not evil, that you may live: and the Lord the God of hosts will be with you, as you have said.	2
The Prophecy of Amos	5	15	Hate evil, and love good, and establish judgment in the gate: it may be the Lord the God of hosts may have mercy on the remnant of Joseph.	2
The Prophecy of Amos	5	16	Therefore thus saith the Lord the God of hosts the sovereign Lord: In every street there shall be wailing: and in all places that are without, they shall say: Alas, alas! and they shall call the husbandman to mourning, and such as are skilful in lamentation to lament.	2
The Prophecy of Amos	5	17	And in all vineyards there shall be wailing: because I will pass through in the midst of thee, saith the Lord.	2
The Prophecy of Amos	5	18	Woe to them that desire the day of the Lord: to what end is it for you? the day of the Lord is darkness, and not light.	2
The Prophecy of Amos	5	19	As if a man should flee from the face of a lion, and a bear should meet him: or enter into the house, and lean with his hand upon the wall, and a serpent should bite him.	2
The Prophecy of Amos	5	20	Shall not the day of the Lord be darkness, and not light: and obscurity, and no brightness in it?	2
The Prophecy of Amos	5	21	I hate, and have rejected your festivities: and I will not receive the odour of your assemblies.	2
The Prophecy of Amos	5	22	And if you offer me holocausts, and your gifts, I will not receive them: neither will I regard the vows of your fat beasts.	2
The Prophecy of Amos	5	23	Take away from me the tumult of thy songs: and I will not hear the canticles of thy harp.	2
The Prophecy of Amos	5	24	But judgment shall be revealed as water, and justice as a mighty torrent.	2
The Prophecy of Amos	5	25	Did you offer victims and sacrifices to me in the desert for forty years, O house of Israel? Did you offer, etc.... Except the sacrifices that were offered at the first, in the dedication of the tabernacle, the Israelites offered no sacrifices in the desert. 5:26.But you carried a tabernacle for your Moloch, and the image of your idols, the star of your god, which you made to yourselves. A tabernacle, etc.... All this alludes to the idolatry which they committed, when they were drawn away by the daughters of Moab to the worship of their gods. Num. 25.	2
The Prophecy of Amos	5	27	And I will cause you to go into captivity beyond Damascus, saith the Lord, the God of hosts is his name. Amos Chapter 6 The desolation of Israel for their pride and luxury.	2
The Prophecy of Amos	6	1	Woe to you that are wealthy in Sion, and to you that have confidence in the mountain of Samaria: ye great men, heads of the people, that go in with state into the house of Israel.	2
The Prophecy of Amos	6	2	Pass ye over to Chalane, and see, and go from thence into Emath the great: and go down into Geth of the Philistines, and to all the best kingdoms of these: if their border be larger than your border.	2
The Prophecy of Amos	6	3	You that are separated unto the evil day: and that approach to the throne of iniquity;	2
The Prophecy of Amos	6	4	You that sleep upon beds of ivory, and are wanton on your couches: that eat the lambs out of the flock, and the calves out of the midst of the herd;	2
The Prophecy of Amos	6	5	You that sing to the sound of the psaltery: they have thought themselves to have instruments of music like David;	2
The Prophecy of Amos	6	6	That drink wine in bowls, and anoint themselves with the best ointments: and they are not concerned for the affliction of Joseph.	2
The Prophecy of Amos	6	7	Wherefore now they shall go captive at the head of them that go into captivity: and the faction of the luxurious ones shall be taken away.	2
