Book	Chapter	Verse	Text	Index	Version
The Epistle of St. Paul to the Colossians	2	2	That their hearts may be comforted, being instructed in charity and unto all riches of fulness of understanding, unto the knowledge of the mystery of God the Father and of Christ Jesus:	1	DRB
The Epistle of St. Paul to the Colossians	2	3	In whom are hid all the treasures of wisdom and knowledge.	1	DRB
The Epistle of St. Paul to the Colossians	2	4	Now this I say, that no man may deceive you by loftiness of words.	1	DRB
The Epistle of St. Paul to the Colossians	2	5	For though I be absent in body, yet in spirit I am with you, rejoicing, and beholding your order and the steadfastness of your faith which is in Christ.	1	DRB
The Epistle of St. Paul to the Colossians	2	6	As therefore you have received Jesus Christ the Lord, walk ye in him:	1	DRB
The Epistle of St. Paul to the Colossians	2	7	Rooted and built up in him and confirmed in the faith, as also you have learned: abounding in him in thanksgiving.	1	DRB
The Epistle of St. Paul to the Colossians	2	8	Beware lest any man cheat you by philosophy and vain deceit: according to the tradition of men according to the elements of the world and not according to Christ.	1	DRB
The Epistle of St. Paul to the Colossians	2	9	For in him dwelleth all the fulness of the Godhead corporeally.	1	DRB
The Epistle of St. Paul to the Colossians	2	10	And you are filled in him, who is the head of all principality and power.	1	DRB
The Epistle of St. Paul to the Colossians	2	11	In whom also you are circumcised with circumcision not made by hand in despoiling of the body of the flesh: but in the circumcision of Christ.	1	DRB
The Epistle of St. Paul to the Colossians	2	12	Buried with him in baptism: in whom also you are risen again by the faith of the operation of God who hath raised him up from the dead.	1	DRB
The Epistle of St. Paul to the Colossians	2	13	And you, when you were dead in your sins and the uncircumcision of your flesh, he hath quickened together with him, forgiving you all offences:	1	DRB
The Epistle of St. Paul to the Colossians	2	14	Blotting out the handwriting of the decree that was against us, which was contrary to us. And he hath taken the same out of the way, fastening it to the cross.	1	DRB
The Epistle of St. Paul to the Colossians	2	15	And despoiling the principalities and powers, he hath exposed them confidently in open shew, triumphing over them in himself.	1	DRB
The Epistle of St. Paul to the Colossians	2	16	Let no man therefore judge you in meat or in drink or in respect of a festival day or of the new moon or of the sabbaths, In meat, etc.... He means with regard to the Jewish observations of the distinction of clean and unclean meats; and of their festivals, new moons, and sabbaths, as being no longer obligatory.	1	DRB
The Epistle of St. Paul to the Colossians	2	17	Which are a shadow of things to come: but the body is of Christ.	1	DRB
The Epistle of St. Paul to the Colossians	2	18	Let no man seduce you, willing in humility and religion of angels, walking in the things which he hath not seen, in vain puffed up by the sense of his flesh: Willing, etc.... That is, by a self willed, self invented, superstitious worship, falsely pretending humility, but really proceeding from pride. Such was the worship, that many of the philosophers (against whom St. Paul speaks, ver. 8) paid to angels or demons, by sacrificing to them, as carriers of intelligence betwixt God and men; pretending humility in so doing, as if God was too great to be addressed by men; and setting aside the mediatorship of Jesus Christ, who is the head both of angels and men. Such also was the worship paid by the ancient heretics, disciples of Simon and Menander, to the angels, whom they believed to be makers and lords of this lower world. This is certain, that they whom the apostle here condemns, did not hold the head, (ver. 19,) that is, Jesus Christ, and his mediatorship; and therefore what he writes here no way touches the Catholic doctrine and practice, of desiring our good angels to pray to God for us, through Jesus Christ. St. Jerome [Epist. ad Algas.] understands by the religion or service of angels, the Jewish teachers, who sought to subject the new Christians to the observance of the Mosaic law.	1	DRB
The Epistle of St. Paul to the Colossians	2	19	And not holding the head, from which the whole body, by joints and bands, being supplied with nourishment and compacted, groweth into the increase of God.	1	DRB
The Epistle of St. Paul to the Colossians	2	20	If then you be dead with Christ from the elements of this world, why do you yet decree as though living in the world?	1	DRB
The Epistle of St. Paul to the Colossians	2	21	Touch not: taste not: handle not. Touch not, etc.... The meaning is, that Christians should not subject themselves, either to the ordinances of the old law, forbidding touching or tasting things unclean; or to the superstitious invention of heretics, imposing such restraints, under pretence of wisdom, humility, or mortification.	1	DRB
The Epistle of St. Paul to the Colossians	2	22	Which all are unto destruction by the very use, according to the precepts and doctrines of men.	1	DRB
The Epistle of St. Paul to the Colossians	2	23	Which things have indeed a shew of wisdom in superstition and humility, and not sparing the body; not in any honour to the filling of the flesh. Colossians Chapter 3 He exhorts them to put off the old man, and to put on the new. The duties of wives and husbands, children and servants.	1	DRB
The Epistle of St. Paul to the Colossians	3	1	Therefore if you be risen with Christ, seek the things that are above, where Christ is sitting at the right hand of God.	1	DRB
The Epistle of St. Paul to the Colossians	3	2	Mind the things that are above, not the things that are upon the earth.	1	DRB
The Epistle of St. Paul to the Colossians	3	3	For you are dead: and your life is hid with Christ in God.	1	DRB
The Epistle of St. Paul to the Colossians	3	4	When Christ shall appear, who is your life, then you also shall appear with him in glory.	1	DRB
The Epistle of St. Paul to the Colossians	3	5	Mortify therefore your members which are upon the earth: fornication, uncleanness, lust, evil concupiscence and covetousness, which is the service of idols.	1	DRB
The Epistle of St. Paul to the Colossians	3	6	For which things the wrath of God cometh upon the children of unbelief.	1	DRB
The Epistle of St. Paul to the Colossians	3	7	In which you also walked some time, when you lived in them.	1	DRB
The Epistle of St. Paul to the Colossians	3	8	But now put you also all away: anger, indignation, malice, blasphemy, filthy speech out of your mouth.	1	DRB
The Epistle of St. Paul to the Colossians	3	9	Lie not one to another: stripping yourselves of the old man with his deeds,	1	DRB
The Epistle of St. Paul to the Colossians	3	10	And putting on the new, him who is renewed unto knowledge, according to the image of him that created him.	1	DRB
The Epistle of St. Paul to the Colossians	3	11	Where there is neither Gentile nor Jew, circumcision nor uncircumcision, Barbarian nor Scythian, bond nor free. But Christ is all and in all.	1	DRB
The Epistle of St. Paul to the Colossians	3	12	Put ye on therefore, as the elect of God, holy and beloved, the bowels of mercy, benignity, humility, modesty, patience:	1	DRB
The Epistle of St. Paul to the Colossians	3	13	Bearing with one another and forgiving one another, if any have a complaint against another. Even as the Lord hath forgiven you, so do you also.	1	DRB
The Epistle of St. Paul to the Colossians	3	14	But above all these things have charity, which is the bond of perfection.	1	DRB
The Epistle of St. Paul to the Colossians	3	15	And let the peace of Christ rejoice in your hearts, wherein also you are called in one body: and be ye thankful.	1	DRB
The Epistle of St. Paul to the Colossians	3	16	Let the word of Christ dwell in you abundantly: in all wisdom, teaching and admonishing one another in psalms, hymns and spiritual canticles, singing in grace in your hearts to God.	1	DRB
The Epistle of St. Paul to the Colossians	3	17	All whatsoever you do in word or in work, do all in the name of the Lord Jesus Christ, giving thanks to God and the Father by him.	1	DRB
The Epistle of St. Paul to the Colossians	3	18	Wives, be subject to your husbands, as it behoveth in the Lord.	1	DRB
The Epistle of St. Paul to the Colossians	3	19	Husbands, love your wives and be not bitter towards them.	1	DRB
The Epistle of St. Paul to the Colossians	3	20	Children, obey your parents in all things: for this is well pleasing to the Lord.	1	DRB
The Epistle of St. Paul to the Colossians	3	21	Fathers, provoke not your children to indignation, lest they be discouraged.	1	DRB
The Epistle of St. Paul to the Colossians	3	22	Servants, obey in all things your masters according to the flesh: not serving to the eye, as pleasing men: but in simplicity of heart, fearing God.	1	DRB
The Epistle of St. Paul to the Colossians	3	23	Whatsoever you do, do it from the heart, as to the Lord, and not to men:	1	DRB
The Epistle of St. Paul to the Colossians	3	24	Knowing that you shall receive of the Lord the reward of inheritance. Serve ye the Lord Christ.	1	DRB
The Epistle of St. Paul to the Colossians	3	25	For he that doth wrong shall receive for that which he hath done wrongfully. And there is no respect of persons with God. Colossians Chapter 4 He recommends constant prayer and wisdom. Various salutations.	1	DRB
The Epistle of St. Paul to the Colossians	4	1	Masters, do to your servants that which is just and equal: knowing that you also have a master in heaven.	1	DRB
The Epistle of St. Paul to the Colossians	4	2	Be instant in prayer: watching in it with thanksgiving.	1	DRB
The Epistle of St. Paul to the Colossians	4	3	Praying withal for us also, that God may open unto us a door of speech to speak the mystery of Christ (for which also I am bound):	1	DRB
The Epistle of St. Paul to the Colossians	4	4	That I may make it manifest as I ought to speak.	1	DRB
The Epistle of St. Paul to the Colossians	4	5	Walk with wisdom towards them that are without, redeeming the time.	1	DRB
The Epistle of St. Paul to the Colossians	4	6	Let your speech be always in grace seasoned with salt: that you may know how you ought to answer every man.	1	DRB
The Epistle of St. Paul to the Colossians	4	7	All the things that concern me, Tychicus, our dearest brother and faithful minister and fellow servant in the Lord, will make known to you.	1	DRB
The Epistle of St. Paul to the Colossians	4	8	Whom I have sent to you for this same purpose, that he may know the things that concern you and comfort your hearts:	1	DRB
The Epistle of St. Paul to the Colossians	4	9	With Onesimus, a most beloved and faithful brother, who is one of you. All things that are done here, they shall make known to you.	1	DRB
The Epistle of St. Paul to the Colossians	4	10	Aristarchus, my fellow prisoner, saluteth you: and Mark, the cousin german of Barnabas, touching whom you have received commandments. If he come unto you, receive him.	1	DRB
The Epistle of St. Paul to the Colossians	4	11	And Jesus that is called Justus: who are of the circumcision. These only are my helpers, in the kingdom of God: who have been a comfort to me.	1	DRB
The Epistle of St. Paul to the Colossians	4	12	Epaphras saluteth you, who is one of you, a servant of Christ Jesus, who is always solicitous for you in prayers, that you may stand perfect and full in all the will of God.	1	DRB
The Epistle of St. Paul to the Colossians	4	13	For I bear him testimony that he hath much labour for you and for them that are at Laodicea and them at Hierapolis.	1	DRB
The Epistle of St. Paul to the Colossians	4	14	Luke, the most dear physician, saluteth you: and Demas.	1	DRB
The Epistle of St. Paul to the Colossians	4	15	Salute the brethren who are at Laodicea: and Nymphas and the church that is in his house.	1	DRB
The Epistle of St. Paul to the Colossians	4	16	And when this epistle shall have been read with you, cause that it be read also in the church of the Laodiceans: and that you read that which is of the Laodiceans. And that you read that which is of the Laodiceans.... What this epistle was is uncertain, and annotators have given different opinions concerning it. Some expound these words of an epistle which St. Paul wrote to the Laodiceans, and is since lost, for that now extant is no more than a collection of sentences out of the other epistles of St. Paul; therefore it cannot be considered even as a part of that epistle. Others explain that the text means a letter sent to St. Paul by the Laodiceans, which he sends to the Colossians to be read by them. However, this opinion does not seem well founded. Hence it is more probable that St. Paul wrote an epistle from Rome to the Laodiceans, about the same time that he wrote to the Colossians, as he had them both equally at heart, and that he ordered that epistle to be read by the Colossians for their instructions; and being neighbouring cities, they might communicate to each other what they had received from him; as one epistle might contain some matters not related in the other, and would be equally useful for their concern; and more particularly as they were equally disturbed by intruders and false teachers, against which the apostle was anxious to warn them, lest they should be infected by their pernicious doctrine.	1	DRB
The Epistle of St. Paul to the Colossians	4	17	And say to Archippus: Take heed to the ministry which thou hast received in the Lord, that thou fulfil it.	1	DRB
The Epistle of St. Paul to the Colossians	4	18	The salutation of Paul with my own hand. Be mindful of my bands. Grace be with you. Amen.	1	DRB
The Epistle of St. Paul to the Ephesians	1	1	Paul, an apostle of Jesus Christ, by the will of God, to all the saints who are at Ephesus and to the faithful in Christ Jesus.	2	DRB
The Epistle of St. Paul to the Ephesians	1	2	Grace be to you and peace, from God the Father and from the Lord Jesus Christ.	2	DRB
The Epistle of St. Paul to the Ephesians	1	3	Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with spiritual blessings in heavenly places, in Christ: In heavenly places.... or, in heavenly things. In coelestibus.	2	DRB
The Epistle of St. Paul to the Ephesians	1	4	As he chose us in him before the foundation of the world, that we should be holy and unspotted in his sight in charity.	2	DRB
The Epistle of St. Paul to the Ephesians	1	5	Who hath predestinated us unto the adoption of children through Jesus Christ unto himself: according to the purpose of his will:	2	DRB
The Epistle of St. Paul to the Ephesians	1	6	Unto the praise of the glory of his grace, in which he hath graced us, in his beloved son.	2	DRB
The Epistle of St. Paul to the Ephesians	1	7	In whom we have redemption through his blood, the remission of sins, according to the riches of his, grace,	2	DRB
The Epistle of St. Paul to the Ephesians	1	8	Which hath superabounded in us, in all wisdom and prudence,	2	DRB
The Epistle of St. Paul to the Ephesians	1	9	That he might make known unto us the mystery of his will, according to his good pleasure, which he hath purposed in him,	2	DRB
The Epistle of St. Paul to the Ephesians	1	10	In the dispensation of the fulness of times, to re-establish all things in Christ, that are in heaven and on earth, in him.	2	DRB
The Epistle of St. Paul to the Ephesians	1	11	In whom we also are called by lot, being predestinated according to the purpose of him who worketh all things according to the counsel of his will.	2	DRB
The Epistle of St. Paul to the Ephesians	1	12	That we may be unto the praise of his glory: we who before hoped in Christ:	2	DRB
The Epistle of St. Paul to the Ephesians	1	13	In whom you also, after you had heard the word of truth (the gospel of your salvation), in whom also believing, you were signed with the holy Spirit of promise.	2	DRB
The Epistle of St. Paul to the Ephesians	1	14	Who is the pledge of our inheritance, unto the redemption of acquisition, unto the praise of his glory. Acquisition.... that is, a purchased possession.	2	DRB
The Epistle of St. Paul to the Ephesians	1	15	Wherefore, I also, hearing of your faith that is in the Lord Jesus and of your love towards all the saints,	2	DRB
The Epistle of St. Paul to the Ephesians	1	16	Cease not to give thanks for you, making commemoration of you in my prayers,	2	DRB
The Epistle of St. Paul to the Ephesians	1	17	That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and of revelation, in the knowledge of him:	2	DRB
The Epistle of St. Paul to the Ephesians	1	18	The eyes of your heart enlightened that you may know what the hope is of his calling and what are the riches of the glory of his inheritance in the saints.	2	DRB
The Epistle of St. Paul to the Ephesians	1	19	And what is the exceeding greatness of his power towards us, who believe according to the operation of the might of his power,	2	DRB
The Epistle of St. Paul to the Ephesians	1	20	Which he wrought in Christ, raising him up from the dead and setting him on his right hand in the heavenly places.	2	DRB
The Epistle of St. Paul to the Ephesians	1	21	Above all principality and power and virtue and dominion and every name that is named, not only in this world, but also in that which is to come.	2	DRB
The Epistle of St. Paul to the Ephesians	1	22	And he hath subjected all things under his feet and hath made him head over all the church,	2	DRB
The Epistle of St. Paul to the Ephesians	1	23	Which is his body and the fulness of him who is filled all in all. Ephesians Chapter 2 All our good comes through Christ. He is our peace.	2	DRB
The Epistle of St. Paul to the Ephesians	2	1	And you, when you were dead in your offences and sins,	2	DRB
The Epistle of St. Paul to the Ephesians	2	2	Wherein in time past you walked according to the course of this world, according to the prince of the power of this air, of the spirit that now worketh on the children of unbelief:	2	DRB
The Epistle of St. Paul to the Ephesians	2	3	In which also we all conversed in time past, in the desires of our flesh, fulfilling the will of the flesh and of our thoughts, and were by nature children of wrath, even as the rest:	2	DRB
The Epistle of St. Paul to the Ephesians	2	4	But God (who is rich in mercy) for his exceeding charity wherewith he loved us	2	DRB
The Epistle of St. Paul to the Ephesians	2	5	Even when we were dead in sins, hath quickened us together in Christ (by whose grace you are saved)	2	DRB
The Epistle of St. Paul to the Ephesians	2	6	And hath raised us up together and hath made us sit together in the heavenly places, through Christ Jesus.	2	DRB
The Epistle of St. Paul to the Ephesians	2	7	That he might shew in the ages to come the abundant riches of his grace, in his bounty towards us in Christ Jesus.	2	DRB
The Epistle of St. Paul to the Ephesians	2	8	For by grace you are saved through faith: and that not of yourselves, for it is the gift of God.	2	DRB
The Epistle of St. Paul to the Ephesians	2	9	Not of works, that no man may glory. Not of works.... as of our own growth, or from ourselves; but as from the grace of God.	2	DRB
The Epistle of St. Paul to the Ephesians	2	10	For we are his workmanship, created in Christ Jesus in good works, which God hath prepared that we should walk in them.	2	DRB
The Epistle of St. Paul to the Ephesians	2	11	For which cause be mindful that you, being heretofore gentiles in the flesh, who are called uncircumcision by that which is called circumcision in the flesh, made by hands:	2	DRB
The Epistle of St. Paul to the Ephesians	2	12	That you were at that time without Christ, being aliens from the conversation of Israel and strangers to the testament, having no hope of the promise and without God in this world.	2	DRB
The Epistle of St. Paul to the Ephesians	2	13	But now in Christ Jesus, you, who some time were afar off, are made nigh by the blood of Christ.	2	DRB
The Epistle of St. Paul to the Ephesians	2	14	For he is our peace, who hath made both one, and breaking down the middle wall of partition, the enmities in his flesh:	2	DRB
The Epistle of St. Paul to the Ephesians	2	15	Making void the law of commandments contained in decrees: that he might make the two in himself into one new man, making peace.	2	DRB
The Epistle of St. Paul to the Ephesians	2	16	And might reconcile both to God in one body by the cross, killing the enmities in himself.	2	DRB
The Epistle of St. Paul to the Ephesians	2	17	And coming, he preached peace to you that were afar off: and peace to them that were nigh.	2	DRB
The Epistle of St. Paul to the Ephesians	2	18	For by him we have access both in one Spirit to the Father.	2	DRB
The Epistle of St. Paul to the Ephesians	2	19	Now therefore you are no more strangers and foreigners: but you are fellow citizens with the saints and the domestics of God,	2	DRB
The Epistle of St. Paul to the Ephesians	2	20	Built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone:	2	DRB
The Epistle of St. Paul to the Ephesians	2	21	In whom all the building, being framed together, groweth up into an holy temple in the Lord.	2	DRB
The Epistle of St. Paul to the Ephesians	2	22	In whom you also are built together into an habitation of God in the Spirit. Ephesians Chapter 3 The mystery hidden from former ages was discovered to the apostle, to be imparted to the Gentiles. He prays that they may be strengthened in God.	2	DRB
The Epistle of St. Paul to the Ephesians	3	1	For this cause, I Paul, the prisoner of Jesus Christ, for you Gentiles:	2	DRB
The Epistle of St. Paul to the Ephesians	3	2	If yet you have heard of the dispensation of the grace of God which is given me towards you:	2	DRB
The Epistle of St. Paul to the Ephesians	3	3	How that, according to revelation, the mystery has been made known to me, as I have written above in a few words:	2	DRB
The Epistle of St. Paul to the Ephesians	3	4	As you reading, may understand my knowledge in the mystery of Christ,	2	DRB
The Epistle of St. Paul to the Ephesians	3	5	Which in other generations was not known to the sons of men, as it is now revealed to his holy apostles and prophets in the Spirit:	2	DRB
The Epistle of St. Paul to the Ephesians	3	6	That the Gentiles should be fellow heirs and of the same body: and copartners of his promise in Christ Jesus, by the gospel	2	DRB
The Epistle of St. Paul to the Ephesians	3	7	Of which I am made a minister, according to the gift of the grace of God, which is given to me according to the operation of his power.	2	DRB
The Epistle of St. Paul to the Ephesians	3	8	To me, the least of all the saints, is given this grace, to preach among the Gentiles the unsearchable riches of Christ:	2	DRB
The Epistle of St. Paul to the Ephesians	3	9	And to enlighten all men, that they may see what is the dispensation of the mystery which hath been hidden from eternity in God who created all things:	2	DRB
The Epistle of St. Paul to the Ephesians	3	10	That the manifold wisdom of God may be made known to the principalities and powers in heavenly places through the church,	2	DRB
The Epistle of St. Paul to the Ephesians	3	11	According to the eternal purpose which he made in Christ Jesus our Lord:	2	DRB
The Epistle of St. Paul to the Ephesians	3	12	In whom we have boldness and access with confidence by the faith of him.	2	DRB
The Epistle of St. Paul to the Ephesians	3	13	Wherefore I pray you not to faint at my tribulations for you, which is your glory.	2	DRB
The Epistle of St. Paul to the Ephesians	3	14	For this cause I bow my knees to the Father of our Lord Jesus Christ,	2	DRB
The Epistle of St. Paul to the Ephesians	3	15	Of whom all paternity in heaven and earth is named: All paternity.... Or, the whole family. God is the Father, both of angels and men; whosoever besides is named father, is so named with subordination to him.	2	DRB
The Epistle of St. Paul to the Ephesians	3	16	That he would grant you, according to the riches of his glory, to be strengthened by his Spirit with might unto the inward man:	2	DRB
The Epistle of St. Paul to the Ephesians	3	17	That Christ may dwell by faith in your hearts: that, being rooted and founded in charity,	2	DRB
The Epistle of St. Paul to the Ephesians	3	18	You may be able to comprehend, with all the saints, what is the breadth and length and height and depth,	2	DRB
The Epistle of St. Paul to the Ephesians	3	19	To know also the charity of Christ, which surpasseth all knowledge: that you may be filled unto all the fulness of God.	2	DRB
The Epistle of St. Paul to the Ephesians	3	20	Now to him who is able to do all things more abundantly than we desire or understand, according to the power that worketh in us:	2	DRB
The Epistle of St. Paul to the Ephesians	3	21	To him be glory in the church and in Christ Jesus, unto all generations, world without end. Amen. Ephesians Chapter 4 He exhorts them to unity, to put on the new man, and to fly sin.	2	DRB
The Epistle of St. Paul to the Ephesians	4	1	I therefore, a prisoner in the Lord, beseech you that you walk worthy of the vocation in which you are called:	2	DRB
The Epistle of St. Paul to the Ephesians	4	2	With all humility and mildness, with patience, supporting one another in charity.	2	DRB
The Epistle of St. Paul to the Ephesians	4	3	Careful to keep the unity of the Spirit in the bond of peace.	2	DRB
The Epistle of St. Paul to the Ephesians	4	4	One body and one Spirit: as you are called in one hope of your calling.	2	DRB
The Epistle of St. Paul to the Ephesians	4	5	One Lord, one faith, one baptism.	2	DRB
The Epistle of St. Paul to the Ephesians	4	6	One God and Father of all, who is above all, and through all, and in us all.	2	DRB
The Epistle of St. Paul to the Ephesians	4	7	But to every one of us is given grace, according to the measure of the giving of Christ.	2	DRB
The Epistle of St. Paul to the Ephesians	4	8	Wherefore he saith: Ascending on high, he led captivity captive: he gave gifts to men.	2	DRB
The Epistle of St. Paul to the Ephesians	4	9	Now that he ascended, what is it, but because he also descended first into the lower parts of the earth?	2	DRB
The Epistle of St. Paul to the Ephesians	4	10	He that descended is the same also that ascended above all the heavens: that he might fill all things.	2	DRB
The Epistle of St. Paul to the Ephesians	4	11	And he gave some apostles, and some prophets, and other some evangelists, and other some pastors and doctors: Gave some apostles—Until we all meet, etc.... Here it is plainly expressed, that Christ has left in his church a perpetual succession of orthodox pastors and teachers, to preserve the faithful in unity and truth.	2	DRB
The Epistle of St. Paul to the Ephesians	4	12	For the perfecting of the saints, for the work of the ministry, for the edifying of the body of Christ:	2	DRB
The Epistle of St. Paul to the Ephesians	4	13	Until we all meet into the unity of faith and of the knowledge of the Son of God, unto a perfect man, unto the measure of the age of the fulness of Christ:	2	DRB
The Epistle of St. Paul to the Ephesians	4	14	That henceforth we be no more children tossed to and fro and carried about with every wind of doctrine, by the wickedness of men, by cunning craftiness by which they lie in wait to deceive.	2	DRB
The Epistle of St. Paul to the Ephesians	4	15	But doing the truth in charity, we may in all things grow up in him who is the head, even Christ:	2	DRB
The Epistle of St. Paul to the Ephesians	4	16	From whom the whole body, being compacted and fitly joined together, by what every joint supplieth, according to the operation in the measure of every part, maketh increase of the body, unto the edifying of itself in charity.	2	DRB
The Epistle of St. Paul to the Ephesians	4	17	This then I say and testify in the Lord: That henceforward you walk not as also the Gentiles walk in the vanity of their mind:	2	DRB
The Epistle of St. Paul to the Ephesians	4	18	Having their understanding darkened: being alienated from the life of God through the ignorance that is in them, because of the blindness of their hearts.	2	DRB
The Epistle of St. Paul to the Ephesians	4	19	Who despairing have given themselves up to lasciviousness, unto the working of all uncleanness, unto covetousness.	2	DRB
The Epistle of St. Paul to the Ephesians	4	20	But you have not so learned Christ:	2	DRB
The Epistle of St. Paul to the Ephesians	4	21	If so be that you have heard him and have been taught in him, as the truth is in Jesus:	2	DRB
The Epistle of St. Paul to the Ephesians	4	22	To put off, according to former conversation, the old man, who is corrupted according to the desire of error.	2	DRB
The Epistle of St. Paul to the Ephesians	4	23	And be renewed in the spirit of your mind:	2	DRB
The Epistle of St. Paul to the Ephesians	4	24	And put on the new man, who according to God is created in justice and holiness of truth.	2	DRB
The Epistle of St. Paul to the Ephesians	4	25	Wherefore, putting away lying, speak ye the truth, every man with his neighbour. For we are members one of another.	2	DRB
The Epistle of St. Paul to the Ephesians	4	26	Be angry: and sin not. Let not the sun go down upon your anger.	2	DRB
The Epistle of St. Paul to the Ephesians	4	27	Give not place to the devil.	2	DRB
The Epistle of St. Paul to the Ephesians	4	28	He that stole, let him now steal no more: but rather let him labour, working with his hands the thing which is good, that he may have something to give to him that suffereth need.	2	DRB
The Epistle of St. Paul to the Ephesians	4	29	Let no evil speech proceed from your mouth: but that which is good, to the edification of faith: that it may administer grace to the hearers.	2	DRB
The Epistle of St. Paul to the Ephesians	4	30	And grieve not the holy Spirit of God: whereby you are sealed unto the day of redemption.	2	DRB
The Epistle of St. Paul to the Ephesians	4	31	Let all bitterness and anger and indignation and clamour and blasphemy be put away from you, with all malice.	2	DRB
